"Date","Région","Plage de puissance injection","Filière de production","Nombre points injection"
"2025-06-09","OCCITANIE","P3 : ]9 - 100] kW","F5 : Solaire",14032
"2025-09-09","OCCITANIE","P0 : Total toutes puissances","F4 : Eolien",176
"2025-09-09","OCCITANIE","P1 : ]0 - 3] kW","F2 : Bioénergies",0
"2025-09-09","OCCITANIE","P3 : ]9 - 100] kW","F1 : Thermique non renouvelable",1
"2025-09-09","OCCITANIE","P3 : ]9 - 100] kW","F2 : Bioénergies",12
"2025-09-09","OCCITANIE","P6 : ]1000 - 12000] kW","F6 : Autres",27
"2025-09-09","OCCITANIE","P7 : > 12000 kW","F5 : Solaire",9
"2025-06-09","OCCITANIE","P1 : ]0 - 3] kW","F5 : Solaire",93530
"2025-10-22","OCCITANIE","P0 : Total toutes puissances","F0 : Total toutes filières",203754
"2025-10-22","OCCITANIE","P0 : Total toutes puissances","F1 : Thermique non renouvelable",49
"2025-10-22","OCCITANIE","P0 : Total toutes puissances","F2 : Bioénergies",49
"2025-10-22","OCCITANIE","P0 : Total toutes puissances","F3 : Hydraulique",647
"2025-10-22","OCCITANIE","P0 : Total toutes puissances","F4 : Eolien",177
"2025-10-22","OCCITANIE","P0 : Total toutes puissances","F5 : Solaire",202779
"2025-10-22","OCCITANIE","P1 : ]0 - 3] kW","F0 : Total toutes filières",95547
"2025-06-09","OCCITANIE","P5 : ]250 - 1000] kW","F3 : Hydraulique",310
"2025-10-22","OCCITANIE","P1 : ]0 - 3] kW","F1 : Thermique non renouvelable",0
"2025-10-22","OCCITANIE","P1 : ]0 - 3] kW","F2 : Bioénergies",0
"2025-10-22","OCCITANIE","P1 : ]0 - 3] kW","F3 : Hydraulique",1
"2025-10-22","OCCITANIE","P1 : ]0 - 3] kW","F4 : Eolien",8
"2025-10-22","OCCITANIE","P1 : ]0 - 3] kW","F5 : Solaire",95536
"2025-10-22","OCCITANIE","P1 : ]0 - 3] kW","F6 : Autres",2
"2025-10-22","OCCITANIE","P2 : ]3 - 9] kW","F0 : Total toutes filières",86623
"2025-10-22","OCCITANIE","P2 : ]3 - 9] kW","F1 : Thermique non renouvelable",0
"2025-10-22","OCCITANIE","P2 : ]3 - 9] kW","F2 : Bioénergies",0
"2025-10-22","OCCITANIE","P2 : ]3 - 9] kW","F3 : Hydraulique",2
"2025-10-22","OCCITANIE","P2 : ]3 - 9] kW","F4 : Eolien",10
"2025-10-22","OCCITANIE","P2 : ]3 - 9] kW","F5 : Solaire",86595
"2025-10-22","OCCITANIE","P3 : ]9 - 100] kW","F0 : Total toutes filières",14904
"2025-10-22","OCCITANIE","P3 : ]9 - 100] kW","F1 : Thermique non renouvelable",1
"2025-10-22","OCCITANIE","P3 : ]9 - 100] kW","F2 : Bioénergies",11
"2025-10-22","OCCITANIE","P3 : ]9 - 100] kW","F3 : Hydraulique",74
"2025-10-22","OCCITANIE","P3 : ]9 - 100] kW","F4 : Eolien",6
"2025-10-22","OCCITANIE","P3 : ]9 - 100] kW","F5 : Solaire",14809
"2025-10-22","OCCITANIE","P3 : ]9 - 100] kW","F6 : Autres",3
"2025-10-22","OCCITANIE","P4 : ]100 - 250] kW","F0 : Total toutes filières",5174
"2025-10-22","OCCITANIE","P4 : ]100 - 250] kW","F1 : Thermique non renouvelable",2
"2025-10-22","OCCITANIE","P4 : ]100 - 250] kW","F2 : Bioénergies",10
"2025-10-22","OCCITANIE","P4 : ]100 - 250] kW","F3 : Hydraulique",133
"2025-10-22","OCCITANIE","P4 : ]100 - 250] kW","F4 : Eolien",0
"2025-10-22","OCCITANIE","P4 : ]100 - 250] kW","F5 : Solaire",5028
"2025-10-22","OCCITANIE","P4 : ]100 - 250] kW","F6 : Autres",1
"2025-10-22","OCCITANIE","P5 : ]250 - 1000] kW","F0 : Total toutes filières",629
"2025-06-09","OCCITANIE","P1 : ]0 - 3] kW","F2 : Bioénergies",0
"2025-10-22","OCCITANIE","P5 : ]250 - 1000] kW","F1 : Thermique non renouvelable",4
"2025-06-09","OCCITANIE","P6 : ]1000 - 12000] kW","F0 : Total toutes filières",812
"2025-10-22","OCCITANIE","P5 : ]250 - 1000] kW","F2 : Bioénergies",13
"2025-06-09","OCCITANIE","P7 : > 12000 kW","F6 : Autres",1
"2025-10-22","OCCITANIE","P5 : ]250 - 1000] kW","F3 : Hydraulique",310
"2025-10-22","OCCITANIE","P5 : ]250 - 1000] kW","F4 : Eolien",2
"2025-10-22","OCCITANIE","P5 : ]250 - 1000] kW","F5 : Solaire",297
"2025-10-22","OCCITANIE","P5 : ]250 - 1000] kW","F6 : Autres",3
"2025-10-22","OCCITANIE","P6 : ]1000 - 12000] kW","F0 : Total toutes filières",831
"2025-10-22","OCCITANIE","P6 : ]1000 - 12000] kW","F1 : Thermique non renouvelable",42
"2025-10-22","OCCITANIE","P6 : ]1000 - 12000] kW","F2 : Bioénergies",14
"2025-10-22","OCCITANIE","P6 : ]1000 - 12000] kW","F3 : Hydraulique",127
"2025-10-22","OCCITANIE","P6 : ]1000 - 12000] kW","F4 : Eolien",132
"2025-10-22","OCCITANIE","P6 : ]1000 - 12000] kW","F5 : Solaire",489
"2025-10-22","OCCITANIE","P6 : ]1000 - 12000] kW","F6 : Autres",27
"2025-10-22","OCCITANIE","P7 : > 12000 kW","F0 : Total toutes filières",30
"2025-10-22","OCCITANIE","P7 : > 12000 kW","F1 : Thermique non renouvelable",0
"2025-06-09","OCCITANIE","P7 : > 12000 kW","F1 : Thermique non renouvelable",0
"2025-09-09","OCCITANIE","P0 : Total toutes puissances","F3 : Hydraulique",646
"2025-10-22","OCCITANIE","P7 : > 12000 kW","F2 : Bioénergies",1
"2025-10-22","OCCITANIE","P7 : > 12000 kW","F3 : Hydraulique",0
"2025-09-09","OCCITANIE","P0 : Total toutes puissances","F5 : Solaire",200247
"2025-10-22","OCCITANIE","P7 : > 12000 kW","F4 : Eolien",19
"2025-09-09","OCCITANIE","P1 : ]0 - 3] kW","F3 : Hydraulique",1
"2025-09-09","OCCITANIE","P1 : ]0 - 3] kW","F6 : Autres",2
"2025-10-22","OCCITANIE","P7 : > 12000 kW","F5 : Solaire",9
"2025-10-22","OCCITANIE","P7 : > 12000 kW","F6 : Autres",1
"2025-09-09","OCCITANIE","P2 : ]3 - 9] kW","F5 : Solaire",85107
"2025-09-09","OCCITANIE","P3 : ]9 - 100] kW","F3 : Hydraulique",74
"2025-09-09","OCCITANIE","P4 : ]100 - 250] kW","F0 : Total toutes filières",4983
"2025-09-09","OCCITANIE","P4 : ]100 - 250] kW","F2 : Bioénergies",10
"2025-09-09","OCCITANIE","P4 : ]100 - 250] kW","F6 : Autres",1
"2025-09-09","OCCITANIE","P5 : ]250 - 1000] kW","F1 : Thermique non renouvelable",4
"2025-09-09","OCCITANIE","P6 : ]1000 - 12000] kW","F1 : Thermique non renouvelable",42
"2025-09-09","OCCITANIE","P6 : ]1000 - 12000] kW","F5 : Solaire",485
"2025-06-09","OCCITANIE","P0 : Total toutes puissances","F0 : Total toutes filières",194837
"2025-09-09","OCCITANIE","P7 : > 12000 kW","F1 : Thermique non renouvelable",0
"2025-06-09","OCCITANIE","P3 : ]9 - 100] kW","F3 : Hydraulique",76
"2025-06-09","OCCITANIE","P7 : > 12000 kW","F3 : Hydraulique",0
"2025-06-09","OCCITANIE","P3 : ]9 - 100] kW","F4 : Eolien",6
"2025-06-09","OCCITANIE","P4 : ]100 - 250] kW","F5 : Solaire",4450
"2025-06-09","OCCITANIE","P2 : ]3 - 9] kW","F1 : Thermique non renouvelable",0
"2025-06-09","OCCITANIE","P1 : ]0 - 3] kW","F1 : Thermique non renouvelable",0
"2025-06-09","OCCITANIE","P3 : ]9 - 100] kW","F1 : Thermique non renouvelable",1
"2025-06-09","OCCITANIE","P5 : ]250 - 1000] kW","F0 : Total toutes filières",627
"2025-06-09","OCCITANIE","P6 : ]1000 - 12000] kW","F4 : Eolien",131
"2025-06-09","OCCITANIE","P6 : ]1000 - 12000] kW","F3 : Hydraulique",127
"2025-06-09","OCCITANIE","P5 : ]250 - 1000] kW","F5 : Solaire",294
"2025-09-09","OCCITANIE","P0 : Total toutes puissances","F0 : Total toutes filières",201218
"2025-09-09","OCCITANIE","P2 : ]3 - 9] kW","F3 : Hydraulique",2
"2025-09-09","OCCITANIE","P3 : ]9 - 100] kW","F4 : Eolien",6
"2025-09-09","OCCITANIE","P4 : ]100 - 250] kW","F3 : Hydraulique",132
"2025-09-09","OCCITANIE","P5 : ]250 - 1000] kW","F3 : Hydraulique",310
"2025-09-09","OCCITANIE","P5 : ]250 - 1000] kW","F6 : Autres",3
"2025-09-09","OCCITANIE","P6 : ]1000 - 12000] kW","F4 : Eolien",131
"2025-06-09","OCCITANIE","P2 : ]3 - 9] kW","F2 : Bioénergies",0
"2025-06-08","OCCITANIE","P2 : ]3 - 9] kW","F5 : Solaire",81044
"2025-06-08","OCCITANIE","P2 : ]3 - 9] kW","F3 : Hydraulique",2
"2025-06-08","OCCITANIE","P6 : ]1000 - 12000] kW","F4 : Eolien",131
"2025-06-08","OCCITANIE","P7 : > 12000 kW","F3 : Hydraulique",0
"2025-06-08","OCCITANIE","P1 : ]0 - 3] kW","F4 : Eolien",8
"2025-06-08","OCCITANIE","P4 : ]100 - 250] kW","F0 : Total toutes filières",4596
"2025-06-08","OCCITANIE","P7 : > 12000 kW","F5 : Solaire",9
"2025-09-08","OCCITANIE","P0 : Total toutes puissances","F1 : Thermique non renouvelable",49
"2025-09-08","OCCITANIE","P1 : ]0 - 3] kW","F2 : Bioénergies",0
"2025-09-08","OCCITANIE","P2 : ]3 - 9] kW","F2 : Bioénergies",0
"2025-09-08","OCCITANIE","P4 : ]100 - 250] kW","F1 : Thermique non renouvelable",2
"2025-09-08","OCCITANIE","P4 : ]100 - 250] kW","F5 : Solaire",4832
"2025-09-08","OCCITANIE","P4 : ]100 - 250] kW","F6 : Autres",1
"2025-06-08","OCCITANIE","P0 : Total toutes puissances","F2 : Bioénergies",50
"2025-06-08","OCCITANIE","P3 : ]9 - 100] kW","F0 : Total toutes filières",14129
"2025-06-08","OCCITANIE","P6 : ]1000 - 12000] kW","F1 : Thermique non renouvelable",42
"2025-06-08","OCCITANIE","P3 : ]9 - 100] kW","F3 : Hydraulique",76
"2025-06-08","OCCITANIE","P1 : ]0 - 3] kW","F0 : Total toutes filières",93528
"2025-06-08","OCCITANIE","P3 : ]9 - 100] kW","F5 : Solaire",14032
"2025-09-08","OCCITANIE","P1 : ]0 - 3] kW","F5 : Solaire",94955
"2025-09-08","OCCITANIE","P2 : ]3 - 9] kW","F4 : Eolien",10
"2025-06-08","OCCITANIE","P6 : ]1000 - 12000] kW","F5 : Solaire",473
"2025-09-08","OCCITANIE","P3 : ]9 - 100] kW","F0 : Total toutes filières",14616
"2025-09-08","OCCITANIE","P4 : ]100 - 250] kW","F2 : Bioénergies",10
"2025-09-08","OCCITANIE","P5 : ]250 - 1000] kW","F3 : Hydraulique",310
"2025-09-08","OCCITANIE","P6 : ]1000 - 12000] kW","F3 : Hydraulique",127
"2025-09-08","OCCITANIE","P6 : ]1000 - 12000] kW","F5 : Solaire",485
"2025-09-08","OCCITANIE","P7 : > 12000 kW","F1 : Thermique non renouvelable",0
"2025-09-08","OCCITANIE","P7 : > 12000 kW","F3 : Hydraulique",0
"2025-09-08","OCCITANIE","P7 : > 12000 kW","F5 : Solaire",9
"2025-06-08","OCCITANIE","P6 : ]1000 - 12000] kW","F0 : Total toutes filières",812
"2025-06-08","OCCITANIE","P3 : ]9 - 100] kW","F6 : Autres",2
"2025-06-08","OCCITANIE","P5 : ]250 - 1000] kW","F0 : Total toutes filières",627
"2025-06-08","OCCITANIE","P3 : ]9 - 100] kW","F1 : Thermique non renouvelable",1
"2025-06-08","OCCITANIE","P7 : > 12000 kW","F2 : Bioénergies",1
"2025-06-08","OCCITANIE","P7 : > 12000 kW","F4 : Eolien",17
"2025-06-08","OCCITANIE","P5 : ]250 - 1000] kW","F3 : Hydraulique",310
"2025-06-08","OCCITANIE","P0 : Total toutes puissances","F0 : Total toutes filières",194801
"2025-06-08","OCCITANIE","P2 : ]3 - 9] kW","F1 : Thermique non renouvelable",0
"2025-09-08","OCCITANIE","P0 : Total toutes puissances","F2 : Bioénergies",50
"2025-09-08","OCCITANIE","P1 : ]0 - 3] kW","F0 : Total toutes filières",94966
"2025-09-08","OCCITANIE","P2 : ]3 - 9] kW","F0 : Total toutes filières",85107
"2025-09-08","OCCITANIE","P4 : ]100 - 250] kW","F0 : Total toutes filières",4977
"2025-06-08","OCCITANIE","P3 : ]9 - 100] kW","F2 : Bioénergies",12
"2025-09-08","OCCITANIE","P5 : ]250 - 1000] kW","F2 : Bioénergies",13
"2025-09-08","OCCITANIE","P5 : ]250 - 1000] kW","F4 : Eolien",2
"2025-09-08","OCCITANIE","P6 : ]1000 - 12000] kW","F6 : Autres",27
"2025-06-08","OCCITANIE","P0 : Total toutes puissances","F3 : Hydraulique",649
"2025-06-08","OCCITANIE","P4 : ]100 - 250] kW","F6 : Autres",1
"2025-06-08","OCCITANIE","P6 : ]1000 - 12000] kW","F3 : Hydraulique",127
"2025-06-08","OCCITANIE","P0 : Total toutes puissances","F4 : Eolien",175
"2025-06-08","OCCITANIE","P7 : > 12000 kW","F0 : Total toutes filières",28
"2025-09-08","OCCITANIE","P2 : ]3 - 9] kW","F5 : Solaire",85082
"2025-09-08","OCCITANIE","P4 : ]100 - 250] kW","F3 : Hydraulique",132
"2025-06-08","OCCITANIE","P1 : ]0 - 3] kW","F5 : Solaire",93518
"2025-06-08","OCCITANIE","P0 : Total toutes puissances","F1 : Thermique non renouvelable",49
"2025-06-08","OCCITANIE","P2 : ]3 - 9] kW","F4 : Eolien",11
"2025-06-08","OCCITANIE","P4 : ]100 - 250] kW","F3 : Hydraulique",133
"2025-06-08","OCCITANIE","P5 : ]250 - 1000] kW","F1 : Thermique non renouvelable",4
"2025-06-08","OCCITANIE","P4 : ]100 - 250] kW","F5 : Solaire",4450
"2025-06-08","OCCITANIE","P1 : ]0 - 3] kW","F2 : Bioénergies",0
"2025-06-08","OCCITANIE","P1 : ]0 - 3] kW","F3 : Hydraulique",1
"2025-06-08","OCCITANIE","P5 : ]250 - 1000] kW","F6 : Autres",3
"2025-09-08","OCCITANIE","P0 : Total toutes puissances","F5 : Solaire",200200
"2025-09-08","OCCITANIE","P1 : ]0 - 3] kW","F6 : Autres",2
"2025-09-08","OCCITANIE","P3 : ]9 - 100] kW","F3 : Hydraulique",74
"2025-09-08","OCCITANIE","P3 : ]9 - 100] kW","F4 : Eolien",6
"2025-09-08","OCCITANIE","P4 : ]100 - 250] kW","F4 : Eolien",0
"2025-09-08","OCCITANIE","P6 : ]1000 - 12000] kW","F2 : Bioénergies",14
"2025-06-08","OCCITANIE","P2 : ]3 - 9] kW","F0 : Total toutes filières",81064
"2025-06-08","OCCITANIE","P6 : ]1000 - 12000] kW","F6 : Autres",26
"2025-06-08","OCCITANIE","P4 : ]100 - 250] kW","F1 : Thermique non renouvelable",2
"2025-06-08","OCCITANIE","P1 : ]0 - 3] kW","F6 : Autres",1
"2025-06-08","OCCITANIE","P5 : ]250 - 1000] kW","F5 : Solaire",294
"2025-09-08","OCCITANIE","P1 : ]0 - 3] kW","F3 : Hydraulique",1
"2025-09-08","OCCITANIE","P2 : ]3 - 9] kW","F1 : Thermique non renouvelable",0
"2025-09-08","OCCITANIE","P2 : ]3 - 9] kW","F3 : Hydraulique",2
"2025-09-08","OCCITANIE","P3 : ]9 - 100] kW","F1 : Thermique non renouvelable",1
"2025-09-08","OCCITANIE","P3 : ]9 - 100] kW","F2 : Bioénergies",12
"2025-09-08","OCCITANIE","P3 : ]9 - 100] kW","F5 : Solaire",14520
"2025-09-08","OCCITANIE","P3 : ]9 - 100] kW","F6 : Autres",3
"2025-09-08","OCCITANIE","P5 : ]250 - 1000] kW","F0 : Total toutes filières",626
"2025-09-08","OCCITANIE","P5 : ]250 - 1000] kW","F1 : Thermique non renouvelable",4
"2025-09-08","OCCITANIE","P5 : ]250 - 1000] kW","F5 : Solaire",294
"2025-06-08","OCCITANIE","P7 : > 12000 kW","F1 : Thermique non renouvelable",0
"2025-09-08","OCCITANIE","P7 : > 12000 kW","F0 : Total toutes filières",30
"2025-09-08","OCCITANIE","P7 : > 12000 kW","F2 : Bioénergies",1
"2025-06-08","OCCITANIE","P1 : ]0 - 3] kW","F1 : Thermique non renouvelable",0
"2025-06-08","OCCITANIE","P2 : ]3 - 9] kW","F2 : Bioénergies",0
"2025-10-23","OCCITANIE","P0 : Total toutes puissances","F0 : Total toutes filières",203816
"2025-10-23","OCCITANIE","P0 : Total toutes puissances","F1 : Thermique non renouvelable",49
"2025-10-23","OCCITANIE","P0 : Total toutes puissances","F2 : Bioénergies",49
"2025-10-23","OCCITANIE","P0 : Total toutes puissances","F3 : Hydraulique",647
"2025-10-23","OCCITANIE","P0 : Total toutes puissances","F4 : Eolien",177
"2025-10-23","OCCITANIE","P0 : Total toutes puissances","F5 : Solaire",202841
"2025-06-08","OCCITANIE","P5 : ]250 - 1000] kW","F2 : Bioénergies",14
"2025-10-23","OCCITANIE","P1 : ]0 - 3] kW","F0 : Total toutes filières",95556
"2025-10-23","OCCITANIE","P1 : ]0 - 3] kW","F1 : Thermique non renouvelable",0
"2025-10-23","OCCITANIE","P1 : ]0 - 3] kW","F2 : Bioénergies",0
"2025-10-23","OCCITANIE","P1 : ]0 - 3] kW","F3 : Hydraulique",1
"2025-10-23","OCCITANIE","P1 : ]0 - 3] kW","F4 : Eolien",8
"2025-10-23","OCCITANIE","P1 : ]0 - 3] kW","F5 : Solaire",95545
"2025-10-23","OCCITANIE","P1 : ]0 - 3] kW","F6 : Autres",2
"2025-10-23","OCCITANIE","P2 : ]3 - 9] kW","F0 : Total toutes filières",86664
"2025-10-23","OCCITANIE","P2 : ]3 - 9] kW","F1 : Thermique non renouvelable",0
"2025-10-23","OCCITANIE","P2 : ]3 - 9] kW","F2 : Bioénergies",0
"2025-10-23","OCCITANIE","P2 : ]3 - 9] kW","F3 : Hydraulique",2
"2025-10-23","OCCITANIE","P2 : ]3 - 9] kW","F4 : Eolien",10
"2025-10-23","OCCITANIE","P2 : ]3 - 9] kW","F5 : Solaire",86636
"2025-10-23","OCCITANIE","P3 : ]9 - 100] kW","F0 : Total toutes filières",14907
"2025-10-23","OCCITANIE","P3 : ]9 - 100] kW","F1 : Thermique non renouvelable",1
"2025-10-23","OCCITANIE","P3 : ]9 - 100] kW","F2 : Bioénergies",11
"2025-10-23","OCCITANIE","P3 : ]9 - 100] kW","F3 : Hydraulique",74
"2025-10-23","OCCITANIE","P3 : ]9 - 100] kW","F4 : Eolien",6
"2025-10-23","OCCITANIE","P3 : ]9 - 100] kW","F5 : Solaire",14812
"2025-10-23","OCCITANIE","P3 : ]9 - 100] kW","F6 : Autres",3
"2025-10-23","OCCITANIE","P4 : ]100 - 250] kW","F0 : Total toutes filières",5174
"2025-10-23","OCCITANIE","P4 : ]100 - 250] kW","F1 : Thermique non renouvelable",2
"2025-10-23","OCCITANIE","P4 : ]100 - 250] kW","F2 : Bioénergies",10
"2025-10-23","OCCITANIE","P4 : ]100 - 250] kW","F3 : Hydraulique",133
"2025-10-23","OCCITANIE","P4 : ]100 - 250] kW","F4 : Eolien",0
"2025-10-23","OCCITANIE","P4 : ]100 - 250] kW","F5 : Solaire",5028
"2025-10-23","OCCITANIE","P4 : ]100 - 250] kW","F6 : Autres",1
"2025-10-23","OCCITANIE","P5 : ]250 - 1000] kW","F0 : Total toutes filières",629
"2025-10-23","OCCITANIE","P5 : ]250 - 1000] kW","F1 : Thermique non renouvelable",4
"2025-10-23","OCCITANIE","P5 : ]250 - 1000] kW","F2 : Bioénergies",13
"2025-10-23","OCCITANIE","P5 : ]250 - 1000] kW","F3 : Hydraulique",310
"2025-10-23","OCCITANIE","P5 : ]250 - 1000] kW","F4 : Eolien",2
"2025-10-23","OCCITANIE","P5 : ]250 - 1000] kW","F5 : Solaire",297
"2025-10-23","OCCITANIE","P5 : ]250 - 1000] kW","F6 : Autres",3
"2025-10-23","OCCITANIE","P6 : ]1000 - 12000] kW","F0 : Total toutes filières",831
"2025-10-23","OCCITANIE","P6 : ]1000 - 12000] kW","F1 : Thermique non renouvelable",42
"2025-10-23","OCCITANIE","P6 : ]1000 - 12000] kW","F2 : Bioénergies",14
"2025-10-23","OCCITANIE","P6 : ]1000 - 12000] kW","F3 : Hydraulique",127
"2025-10-23","OCCITANIE","P6 : ]1000 - 12000] kW","F4 : Eolien",132
"2025-06-08","OCCITANIE","P3 : ]9 - 100] kW","F4 : Eolien",6
"2025-10-23","OCCITANIE","P6 : ]1000 - 12000] kW","F5 : Solaire",489
"2025-10-23","OCCITANIE","P6 : ]1000 - 12000] kW","F6 : Autres",27
"2025-10-23","OCCITANIE","P7 : > 12000 kW","F0 : Total toutes filières",30
"2025-10-23","OCCITANIE","P7 : > 12000 kW","F1 : Thermique non renouvelable",0
"2025-10-23","OCCITANIE","P7 : > 12000 kW","F2 : Bioénergies",1
"2025-10-23","OCCITANIE","P7 : > 12000 kW","F3 : Hydraulique",0
"2025-10-23","OCCITANIE","P7 : > 12000 kW","F4 : Eolien",19
"2025-10-23","OCCITANIE","P7 : > 12000 kW","F5 : Solaire",9
"2025-10-23","OCCITANIE","P7 : > 12000 kW","F6 : Autres",1
"2025-09-08","OCCITANIE","P0 : Total toutes puissances","F0 : Total toutes filières",201171
"2025-09-08","OCCITANIE","P1 : ]0 - 3] kW","F1 : Thermique non renouvelable",0
"2025-09-08","OCCITANIE","P5 : ]250 - 1000] kW","F6 : Autres",3
"2025-09-08","OCCITANIE","P6 : ]1000 - 12000] kW","F1 : Thermique non renouvelable",42
"2025-09-08","OCCITANIE","P6 : ]1000 - 12000] kW","F4 : Eolien",131
"2025-09-08","OCCITANIE","P7 : > 12000 kW","F4 : Eolien",19
"2025-09-08","OCCITANIE","P7 : > 12000 kW","F6 : Autres",1
"2025-06-08","OCCITANIE","P5 : ]250 - 1000] kW","F4 : Eolien",2
"2025-06-08","OCCITANIE","P6 : ]1000 - 12000] kW","F2 : Bioénergies",13
"2025-06-08","OCCITANIE","P4 : ]100 - 250] kW","F2 : Bioénergies",10
"2025-06-08","OCCITANIE","P7 : > 12000 kW","F6 : Autres",1
"2025-06-08","OCCITANIE","P0 : Total toutes puissances","F5 : Solaire",193837
"2025-06-08","OCCITANIE","P4 : ]100 - 250] kW","F4 : Eolien",0
"2025-09-08","OCCITANIE","P0 : Total toutes puissances","F3 : Hydraulique",646
"2025-09-08","OCCITANIE","P0 : Total toutes puissances","F4 : Eolien",176
"2025-09-08","OCCITANIE","P1 : ]0 - 3] kW","F4 : Eolien",8
"2025-09-08","OCCITANIE","P6 : ]1000 - 12000] kW","F0 : Total toutes filières",826
"2025-06-07","OCCITANIE","P1 : ]0 - 3] kW","F4 : Eolien",8
"2025-06-07","OCCITANIE","P3 : ]9 - 100] kW","F5 : Solaire",14032
"2025-06-07","OCCITANIE","P3 : ]9 - 100] kW","F1 : Thermique non renouvelable",1
"2025-06-07","OCCITANIE","P7 : > 12000 kW","F6 : Autres",1
"2025-06-07","OCCITANIE","P6 : ]1000 - 12000] kW","F3 : Hydraulique",127
"2025-06-07","OCCITANIE","P7 : > 12000 kW","F1 : Thermique non renouvelable",0
"2025-09-07","OCCITANIE","P0 : Total toutes puissances","F0 : Total toutes filières",201109
"2025-09-07","OCCITANIE","P1 : ]0 - 3] kW","F4 : Eolien",8
"2025-09-07","OCCITANIE","P2 : ]3 - 9] kW","F2 : Bioénergies",0
"2025-09-07","OCCITANIE","P3 : ]9 - 100] kW","F1 : Thermique non renouvelable",1
"2025-09-07","OCCITANIE","P3 : ]9 - 100] kW","F3 : Hydraulique",74
"2025-09-07","OCCITANIE","P5 : ]250 - 1000] kW","F1 : Thermique non renouvelable",4
"2025-09-07","OCCITANIE","P5 : ]250 - 1000] kW","F3 : Hydraulique",310
"2025-06-07","OCCITANIE","P4 : ]100 - 250] kW","F0 : Total toutes filières",4596
"2025-09-07","OCCITANIE","P7 : > 12000 kW","F1 : Thermique non renouvelable",0
"2025-09-07","OCCITANIE","P7 : > 12000 kW","F5 : Solaire",9
"2025-06-07","OCCITANIE","P2 : ]3 - 9] kW","F5 : Solaire",81044
"2025-06-07","OCCITANIE","P7 : > 12000 kW","F2 : Bioénergies",1
"2025-06-07","OCCITANIE","P4 : ]100 - 250] kW","F2 : Bioénergies",10
"2025-06-07","OCCITANIE","P7 : > 12000 kW","F5 : Solaire",9
"2025-06-07","OCCITANIE","P4 : ]100 - 250] kW","F4 : Eolien",0
"2025-06-07","OCCITANIE","P2 : ]3 - 9] kW","F3 : Hydraulique",2
"2025-06-07","OCCITANIE","P3 : ]9 - 100] kW","F4 : Eolien",6
"2025-06-07","OCCITANIE","P4 : ]100 - 250] kW","F1 : Thermique non renouvelable",2
"2025-06-07","OCCITANIE","P4 : ]100 - 250] kW","F3 : Hydraulique",133
"2025-06-07","OCCITANIE","P0 : Total toutes puissances","F4 : Eolien",175
"2025-09-07","OCCITANIE","P5 : ]250 - 1000] kW","F4 : Eolien",2
"2025-09-07","OCCITANIE","P5 : ]250 - 1000] kW","F5 : Solaire",294
"2025-09-07","OCCITANIE","P6 : ]1000 - 12000] kW","F5 : Solaire",485
"2025-06-07","OCCITANIE","P1 : ]0 - 3] kW","F6 : Autres",1
"2025-06-07","OCCITANIE","P7 : > 12000 kW","F4 : Eolien",17
"2025-06-07","OCCITANIE","P5 : ]250 - 1000] kW","F1 : Thermique non renouvelable",4
"2025-06-07","OCCITANIE","P5 : ]250 - 1000] kW","F3 : Hydraulique",310
"2025-06-07","OCCITANIE","P0 : Total toutes puissances","F1 : Thermique non renouvelable",49
"2025-06-07","OCCITANIE","P2 : ]3 - 9] kW","F2 : Bioénergies",0
"2025-06-07","OCCITANIE","P0 : Total toutes puissances","F0 : Total toutes filières",194801
"2025-06-07","OCCITANIE","P0 : Total toutes puissances","F2 : Bioénergies",50
"2025-09-07","OCCITANIE","P0 : Total toutes puissances","F3 : Hydraulique",646
"2025-09-07","OCCITANIE","P4 : ]100 - 250] kW","F0 : Total toutes filières",4972
"2025-09-07","OCCITANIE","P4 : ]100 - 250] kW","F2 : Bioénergies",10
"2025-09-07","OCCITANIE","P4 : ]100 - 250] kW","F6 : Autres",1
"2025-06-07","OCCITANIE","P3 : ]9 - 100] kW","F3 : Hydraulique",76
"2025-09-07","OCCITANIE","P6 : ]1000 - 12000] kW","F0 : Total toutes filières",826
"2025-09-07","OCCITANIE","P7 : > 12000 kW","F6 : Autres",1
"2025-06-07","OCCITANIE","P1 : ]0 - 3] kW","F5 : Solaire",93518
"2025-06-07","OCCITANIE","P6 : ]1000 - 12000] kW","F1 : Thermique non renouvelable",42
"2025-06-07","OCCITANIE","P1 : ]0 - 3] kW","F1 : Thermique non renouvelable",0
"2025-06-07","OCCITANIE","P6 : ]1000 - 12000] kW","F0 : Total toutes filières",812
"2025-06-07","OCCITANIE","P7 : > 12000 kW","F3 : Hydraulique",0
"2025-06-07","OCCITANIE","P2 : ]3 - 9] kW","F4 : Eolien",11
"2025-06-07","OCCITANIE","P3 : ]9 - 100] kW","F6 : Autres",2
"2025-06-07","OCCITANIE","P5 : ]250 - 1000] kW","F0 : Total toutes filières",627
"2025-09-07","OCCITANIE","P1 : ]0 - 3] kW","F3 : Hydraulique",1
"2025-09-07","OCCITANIE","P1 : ]0 - 3] kW","F6 : Autres",2
"2025-09-07","OCCITANIE","P2 : ]3 - 9] kW","F1 : Thermique non renouvelable",0
"2025-09-07","OCCITANIE","P2 : ]3 - 9] kW","F5 : Solaire",85046
