"Date","Région","Plage de puissance injection","Filière de production","Nombre points injection"
"2025-06-30","OCCITANIE","P4 : ]100 - 250] kW","F2 : Bioénergies",10
"2025-06-30","OCCITANIE","P7 : > 12000 kW","F5 : Solaire",9
"2025-09-30","OCCITANIE","P0 : Total toutes puissances","F0 : Total toutes filières",202423
"2025-09-30","OCCITANIE","P1 : ]0 - 3] kW","F1 : Thermique non renouvelable",0
"2025-09-30","OCCITANIE","P2 : ]3 - 9] kW","F2 : Bioénergies",0
"2025-09-30","OCCITANIE","P3 : ]9 - 100] kW","F1 : Thermique non renouvelable",1
"2025-09-30","OCCITANIE","P4 : ]100 - 250] kW","F3 : Hydraulique",132
"2025-09-30","OCCITANIE","P5 : ]250 - 1000] kW","F2 : Bioénergies",13
"2025-09-30","OCCITANIE","P5 : ]250 - 1000] kW","F3 : Hydraulique",310
"2025-09-30","OCCITANIE","P5 : ]250 - 1000] kW","F5 : Solaire",296
"2025-06-30","OCCITANIE","P0 : Total toutes puissances","F0 : Total toutes filières",196439
"2025-06-30","OCCITANIE","P3 : ]9 - 100] kW","F0 : Total toutes filières",14202
"2025-09-30","OCCITANIE","P6 : ]1000 - 12000] kW","F6 : Autres",27
"2025-09-30","OCCITANIE","P7 : > 12000 kW","F0 : Total toutes filières",30
"2025-06-30","OCCITANIE","P5 : ]250 - 1000] kW","F5 : Solaire",293
"2025-06-30","OCCITANIE","P5 : ]250 - 1000] kW","F3 : Hydraulique",310
"2025-10-01","OCCITANIE","P0 : Total toutes puissances","F0 : Total toutes filières",202572
"2025-10-01","OCCITANIE","P0 : Total toutes puissances","F1 : Thermique non renouvelable",49
"2025-10-01","OCCITANIE","P0 : Total toutes puissances","F2 : Bioénergies",49
"2025-10-01","OCCITANIE","P0 : Total toutes puissances","F3 : Hydraulique",647
"2025-10-01","OCCITANIE","P0 : Total toutes puissances","F4 : Eolien",177
"2025-10-01","OCCITANIE","P0 : Total toutes puissances","F5 : Solaire",201600
"2025-10-01","OCCITANIE","P1 : ]0 - 3] kW","F0 : Total toutes filières",95273
"2025-10-01","OCCITANIE","P1 : ]0 - 3] kW","F1 : Thermique non renouvelable",0
"2025-06-30","OCCITANIE","P0 : Total toutes puissances","F1 : Thermique non renouvelable",49
"2025-10-01","OCCITANIE","P1 : ]0 - 3] kW","F2 : Bioénergies",0
"2025-10-01","OCCITANIE","P1 : ]0 - 3] kW","F3 : Hydraulique",1
"2025-06-30","OCCITANIE","P2 : ]3 - 9] kW","F3 : Hydraulique",2
"2025-10-01","OCCITANIE","P1 : ]0 - 3] kW","F4 : Eolien",8
"2025-10-01","OCCITANIE","P1 : ]0 - 3] kW","F5 : Solaire",95262
"2025-10-01","OCCITANIE","P1 : ]0 - 3] kW","F6 : Autres",2
"2025-10-01","OCCITANIE","P2 : ]3 - 9] kW","F0 : Total toutes filières",85923
"2025-10-01","OCCITANIE","P2 : ]3 - 9] kW","F1 : Thermique non renouvelable",0
"2025-10-01","OCCITANIE","P2 : ]3 - 9] kW","F2 : Bioénergies",0
"2025-10-01","OCCITANIE","P2 : ]3 - 9] kW","F3 : Hydraulique",2
"2025-10-01","OCCITANIE","P2 : ]3 - 9] kW","F4 : Eolien",10
"2025-10-01","OCCITANIE","P2 : ]3 - 9] kW","F5 : Solaire",85898
"2025-10-01","OCCITANIE","P3 : ]9 - 100] kW","F0 : Total toutes filières",14770
"2025-10-01","OCCITANIE","P3 : ]9 - 100] kW","F1 : Thermique non renouvelable",1
"2025-10-01","OCCITANIE","P3 : ]9 - 100] kW","F2 : Bioénergies",11
"2025-10-01","OCCITANIE","P3 : ]9 - 100] kW","F3 : Hydraulique",74
"2025-10-01","OCCITANIE","P3 : ]9 - 100] kW","F4 : Eolien",6
"2025-10-01","OCCITANIE","P3 : ]9 - 100] kW","F5 : Solaire",14675
"2025-10-01","OCCITANIE","P3 : ]9 - 100] kW","F6 : Autres",3
"2025-10-01","OCCITANIE","P4 : ]100 - 250] kW","F0 : Total toutes filières",5097
"2025-10-01","OCCITANIE","P4 : ]100 - 250] kW","F1 : Thermique non renouvelable",2
"2025-10-01","OCCITANIE","P4 : ]100 - 250] kW","F2 : Bioénergies",10
"2025-10-01","OCCITANIE","P4 : ]100 - 250] kW","F3 : Hydraulique",133
"2025-10-01","OCCITANIE","P4 : ]100 - 250] kW","F4 : Eolien",0
"2025-06-30","OCCITANIE","P3 : ]9 - 100] kW","F4 : Eolien",6
"2025-10-01","OCCITANIE","P4 : ]100 - 250] kW","F5 : Solaire",4951
"2025-10-01","OCCITANIE","P4 : ]100 - 250] kW","F6 : Autres",1
"2025-06-30","OCCITANIE","P4 : ]100 - 250] kW","F1 : Thermique non renouvelable",2
"2025-10-01","OCCITANIE","P5 : ]250 - 1000] kW","F0 : Total toutes filières",628
"2025-10-01","OCCITANIE","P5 : ]250 - 1000] kW","F1 : Thermique non renouvelable",4
"2025-10-01","OCCITANIE","P5 : ]250 - 1000] kW","F2 : Bioénergies",13
"2025-10-01","OCCITANIE","P5 : ]250 - 1000] kW","F3 : Hydraulique",310
"2025-10-01","OCCITANIE","P5 : ]250 - 1000] kW","F4 : Eolien",2
"2025-10-01","OCCITANIE","P5 : ]250 - 1000] kW","F5 : Solaire",296
"2025-10-01","OCCITANIE","P5 : ]250 - 1000] kW","F6 : Autres",3
"2025-10-01","OCCITANIE","P6 : ]1000 - 12000] kW","F0 : Total toutes filières",829
"2025-10-01","OCCITANIE","P6 : ]1000 - 12000] kW","F1 : Thermique non renouvelable",42
"2025-10-01","OCCITANIE","P6 : ]1000 - 12000] kW","F2 : Bioénergies",14
"2025-10-01","OCCITANIE","P6 : ]1000 - 12000] kW","F3 : Hydraulique",127
"2025-10-01","OCCITANIE","P6 : ]1000 - 12000] kW","F4 : Eolien",132
"2025-10-01","OCCITANIE","P6 : ]1000 - 12000] kW","F5 : Solaire",487
"2025-10-01","OCCITANIE","P6 : ]1000 - 12000] kW","F6 : Autres",27
"2025-09-30","OCCITANIE","P1 : ]0 - 3] kW","F4 : Eolien",8
"2025-09-30","OCCITANIE","P3 : ]9 - 100] kW","F2 : Bioénergies",11
"2025-10-01","OCCITANIE","P7 : > 12000 kW","F0 : Total toutes filières",30
"2025-06-30","OCCITANIE","P4 : ]100 - 250] kW","F4 : Eolien",0
"2025-09-30","OCCITANIE","P4 : ]100 - 250] kW","F4 : Eolien",0
"2025-10-01","OCCITANIE","P7 : > 12000 kW","F1 : Thermique non renouvelable",0
"2025-09-30","OCCITANIE","P4 : ]100 - 250] kW","F5 : Solaire",4941
